Unix,Date,Symbol,Open,High,Low,Close,Volume BNB,Volume BTC,tradecount
1740700800000,2025-02-28,BNBBTC,0.007144,0.007243,0.006939,0.006971,35954.484,256.15505421,71955
1740614400000,2025-02-27,BNBBTC,0.007259,0.007259,0.007046,0.007145,25958.174,185.70250204,56983
1740528000000,2025-02-26,BNBBTC,0.007029,0.007298,0.006994,0.007261,41334.892,294.40261002,77930
1739923200000,2025-02-19,BNBBTC,0.006774,0.006886,0.006692,0.006764,18132.738,123.0464915,36824
1739836800000,2025-02-18,BNBBTC,0.006967,0.006968,0.006665,0.006775,22177.657,150.98884723,42585
1739750400000,2025-02-17,BNBBTC,0.007004,0.007048,0.006909,0.006969,19065.68,133.15345324,40990
1739664000000,2025-02-16,BNBBTC,0.006783,0.00707,0.006718,0.007003,22432.158,154.91927953,46168
1739577600000,2025-02-15,BNBBTC,0.006762,0.006879,0.006707,0.006787,15376.212,104.12692603,29222
1739491200000,2025-02-14,BNBBTC,0.006881,0.007067,0.006713,0.006767,34785.56,240.33531454,58101
1739404800000,2025-02-13,BNBBTC,0.007122,0.007618,0.00688,0.006881,121179.838,879.6302778,210462
1739318400000,2025-02-12,BNBBTC,0.006704,0.007266,0.006561,0.007121,64099.268,442.92099111,121922
1739232000000,2025-02-11,BNBBTC,0.006348,0.006741,0.006293,0.006704,40964.668,267.17910687,73726
1739145600000,2025-02-10,BNBBTC,0.006384,0.006422,0.006171,0.006348,22610.639,141.87436821,46645
1739059200000,2025-02-09,BNBBTC,0.006351,0.006677,0.006292,0.006385,43524.145,282.71266132,92036
1738972800000,2025-02-08,BNBBTC,0.005986,0.006569,0.005937,0.006349,33609.462,212.27084842,65078
1738886400000,2025-02-07,BNBBTC,0.005921,0.006042,0.005881,0.005987,11685.901,69.74101589,29066
1738800000000,2025-02-06,BNBBTC,0.005894,0.00601,0.00584,0.005924,15753.61,93.59253538,34257
1738713600000,2025-02-05,BNBBTC,0.005858,0.00591,0.005763,0.005894,13002.528,76.06905625,24068
1738627200000,2025-02-04,BNBBTC,0.006092,0.006113,0.005746,0.005857,22153.323,130.19110598,39987
1738540800000,2025-02-03,BNBBTC,0.006325,0.006332,0.0055,0.006091,69931.874,415.44679228,111932
1738454400000,2025-02-02,BNBBTC,0.006487,0.006607,0.006221,0.006322,26006.023,167.20366474,52336
1738368000000,2025-02-01,BNBBTC,0.006615,0.006644,0.006482,0.006489,12602.259,82.68974963,23843
1738281600000,2025-01-31,BNBBTC,0.00647,0.006669,0.006461,0.006614,12296.142,80.74715442,30028
1738195200000,2025-01-30,BNBBTC,0.006439,0.006482,0.006412,0.006469,8203.454,52.87357754,18086
1738108800000,2025-01-29,BNBBTC,0.006525,0.006656,0.006427,0.006438,10934.02,71.41257512,24953
1738022400000,2025-01-28,BNBBTC,0.006659,0.006693,0.006521,0.006525,17243.135,113.39620644,39670
1737936000000,2025-01-27,BNBBTC,0.006504,0.006691,0.006474,0.006658,33987.371,223.59458958,74670
1737849600000,2025-01-26,BNBBTC,0.006551,0.006592,0.006449,0.006503,6185.65,40.36247697,17215
1737763200000,2025-01-25,BNBBTC,0.006491,0.006574,0.006486,0.006553,6710.382,43.88274933,17800
1737676800000,2025-01-24,BNBBTC,0.006642,0.006652,0.006411,0.006489,15970.329,104.28134571,39156
1737590400000,2025-01-23,BNBBTC,0.006706,0.006748,0.006482,0.006639,36350.581,240.19178896,92958
